themename,themepercent,themenamecodename,code,snname,sncode
Rural services and infrastructure,60,Rural services and infrastructure,78,Other social services,JB
Rural services and infrastructure,60,Natural disaster management,52,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Natural disaster management,52,Flood protection,WD
Rural services and infrastructure,60,Natural disaster management,52,Housing construction,YC
Rural services and infrastructure,60,Natural disaster management,52,Other social services,JB
Rural services and infrastructure,60,Social risk mitigation,87,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Social risk mitigation,87,Flood protection,WD
Rural services and infrastructure,60,Social risk mitigation,87,Housing construction,YC
Rural services and infrastructure,60,Social risk mitigation,87,Other social services,JB
Rural services and infrastructure,60,Climate change,81,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Climate change,81,Flood protection,WD
Rural services and infrastructure,60,Climate change,81,Housing construction,YC
Rural services and infrastructure,60,Climate change,81,Other social services,JB
Regional integration,20,Regional integration,47,Rural and Inter-Urban Roads and Highways,TI
Regional integration,20,Regional integration,47,Public administration- Transportation,BV
Regional integration,20,Climate change,81,Rural and Inter-Urban Roads and Highways,TI
Regional integration,20,Climate change,81,Public administration- Transportation,BV
Regional integration,20,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Regional integration,20,Rural services and infrastructure,78,Public administration- Transportation,BV
Social safety nets,50,Social safety nets,54,Other social services,JB
Social safety nets,50,Other social protection and risk management,56,Other social services,JB
Social safety nets,50,"Poverty strategy, analysis and monitoring",53,Other social services,JB
Rural services and infrastructure,60,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Climate change,81,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,60,Trade facilitation and market access,49,Rural and Inter-Urban Roads and Highways,TI
Other rural development,100,Other rural development,79,Crops,AH
Other rural development,100,Other rural development,79,Animal production,AJ
Other rural development,100,Other rural development,79,"General agriculture, fishing and forestry sector",AZ
Education for all,100,Education for all,65,Primary education,EP
Child health,17,Child health,63,Health,JA
Child health,17,Child health,63,Central government administration,BC
Child health,17,Child health,63,Sub-national government administration,BH
Child health,17,Child health,63,Other social services,JB
Child health,17,Child health,63,Compulsory health finance,BK
Child health,17,Health system performance,67,Health,JA
Child health,17,Health system performance,67,Central government administration,BC
Child health,17,Health system performance,67,Sub-national government administration,BH
Child health,17,Health system performance,67,Other social services,JB
Child health,17,Health system performance,67,Compulsory health finance,BK
Child health,17,Administrative and civil service reform,25,Health,JA
Child health,17,Administrative and civil service reform,25,Central government administration,BC
Child health,17,Administrative and civil service reform,25,Sub-national government administration,BH
Child health,17,Administrative and civil service reform,25,Other social services,JB
Child health,17,Administrative and civil service reform,25,Compulsory health finance,BK
Child health,17,Participation and civic engagement,57,Health,JA
Child health,17,Participation and civic engagement,57,Central government administration,BC
Child health,17,Participation and civic engagement,57,Sub-national government administration,BH
Child health,17,Participation and civic engagement,57,Other social services,JB
Child health,17,Participation and civic engagement,57,Compulsory health finance,BK
Child health,17,Population and reproductive health,69,Health,JA
Child health,17,Population and reproductive health,69,Central government administration,BC
Child health,17,Population and reproductive health,69,Sub-national government administration,BH
Child health,17,Population and reproductive health,69,Other social services,JB
Child health,17,Population and reproductive health,69,Compulsory health finance,BK
"Public expenditure, financial management and procurement",40,"Public expenditure, financial management and procurement",27,General public administration sector,BZ
"Public expenditure, financial management and procurement",40,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",40,"Public expenditure, financial management and procurement",27,Sub-national government administration,BH
"Public expenditure, financial management and procurement",40,Decentralization,26,General public administration sector,BZ
"Public expenditure, financial management and procurement",40,Decentralization,26,Central government administration,BC
"Public expenditure, financial management and procurement",40,Decentralization,26,Sub-national government administration,BH
"Public expenditure, financial management and procurement",40,Administrative and civil service reform,25,General public administration sector,BZ
"Public expenditure, financial management and procurement",40,Administrative and civil service reform,25,Central government administration,BC
"Public expenditure, financial management and procurement",40,Administrative and civil service reform,25,Sub-national government administration,BH
Conflict prevention and post-conflict reconstruction,50,Conflict prevention and post-conflict reconstruction,58,Other social services,JB
Conflict prevention and post-conflict reconstruction,50,Participation and civic engagement,57,Other social services,JB
Urban services and housing for the poor,30,Urban services and housing for the poor,71,Other social services,JB
Urban services and housing for the poor,30,Urban services and housing for the poor,71,Other industry,YW
Urban services and housing for the poor,30,Urban services and housing for the poor,71,Sub-national government administration,BH
Urban services and housing for the poor,30,Participation and civic engagement,57,Other social services,JB
Urban services and housing for the poor,30,Participation and civic engagement,57,Other industry,YW
Urban services and housing for the poor,30,Participation and civic engagement,57,Sub-national government administration,BH
Other social development,25,Other social development,62,Solid waste management,WB
Other social development,25,Other social development,62,General transportation sector,TZ
Other social development,25,Other social development,62,Sub-national government administration,BH
Other social development,25,Other social development,62,Public administration- Other social services,BS
Other social development,25,Other social development,62,Water supply,WC
Other social development,25,Conflict prevention and post-conflict reconstruction,58,Solid waste management,WB
Other social development,25,Conflict prevention and post-conflict reconstruction,58,General transportation sector,TZ
Other social development,25,Conflict prevention and post-conflict reconstruction,58,Sub-national government administration,BH
Other social development,25,Conflict prevention and post-conflict reconstruction,58,Public administration- Other social services,BS
Other social development,25,Conflict prevention and post-conflict reconstruction,58,Water supply,WC
Nutrition and food security,60,Nutrition and food security,68,Health,JA
Nutrition and food security,60,Child health,63,Health,JA
Rural markets,30,Rural markets,75,"Agro-industry, marketing, and trade",YA
Rural markets,30,Rural markets,75,"General agriculture, fishing and forestry sector",AZ
Rural markets,30,Rural markets,75,Agricultural extension and research,AB
Rural markets,30,Rural non-farm income generation,76,"Agro-industry, marketing, and trade",YA
Rural markets,30,Rural non-farm income generation,76,"General agriculture, fishing and forestry sector",AZ
Rural markets,30,Rural non-farm income generation,76,Agricultural extension and research,AB
Rural markets,30,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Rural markets,30,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Rural markets,30,Rural services and infrastructure,78,Agricultural extension and research,AB
Rural markets,30,Other social protection and risk management,56,"Agro-industry, marketing, and trade",YA
Rural markets,30,Other social protection and risk management,56,"General agriculture, fishing and forestry sector",AZ
Rural markets,30,Other social protection and risk management,56,Agricultural extension and research,AB
Other environment and natural resources management,40,Other environment and natural resources management,86,"General agriculture, fishing and forestry sector",AZ
Other environment and natural resources management,40,Other environment and natural resources management,86,Agricultural extension and research,AB
Other environment and natural resources management,40,Climate change,81,"General agriculture, fishing and forestry sector",AZ
Other environment and natural resources management,40,Climate change,81,Agricultural extension and research,AB
Other environment and natural resources management,40,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Other environment and natural resources management,40,Biodiversity,80,Agricultural extension and research,AB
Regulation and competition policy,14,Regulation and competition policy,40,Central government administration,BC
Regulation and competition policy,14,Regulation and competition policy,40,General industry and trade sector,YZ
Regulation and competition policy,14,Regulation and competition policy,40,General education sector,EZ
Regulation and competition policy,14,Regulation and competition policy,40,Non-compulsory health finance,FB
Regulation and competition policy,14,Regulation and competition policy,40,Thermal Power Generation,LG
Regulation and competition policy,14,Trade facilitation and market access,49,Central government administration,BC
Regulation and competition policy,14,Trade facilitation and market access,49,General industry and trade sector,YZ
Regulation and competition policy,14,Trade facilitation and market access,49,General education sector,EZ
Regulation and competition policy,14,Trade facilitation and market access,49,Non-compulsory health finance,FB
Regulation and competition policy,14,Trade facilitation and market access,49,Thermal Power Generation,LG
Regulation and competition policy,14,"Public expenditure, financial management and procurement",27,Central government administration,BC
Regulation and competition policy,14,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
Regulation and competition policy,14,"Public expenditure, financial management and procurement",27,General education sector,EZ
Regulation and competition policy,14,"Public expenditure, financial management and procurement",27,Non-compulsory health finance,FB
Regulation and competition policy,14,"Public expenditure, financial management and procurement",27,Thermal Power Generation,LG
Regulation and competition policy,14,Health system performance,67,Central government administration,BC
Regulation and competition policy,14,Health system performance,67,General industry and trade sector,YZ
Regulation and competition policy,14,Health system performance,67,General education sector,EZ
Regulation and competition policy,14,Health system performance,67,Non-compulsory health finance,FB
Regulation and competition policy,14,Health system performance,67,Thermal Power Generation,LG
Climate change,5,Climate change,81,Aviation,TV
Climate change,5,Climate change,81,Public administration- Transportation,BV
Climate change,5,Administrative and civil service reform,25,Aviation,TV
Climate change,5,Administrative and civil service reform,25,Public administration- Transportation,BV
Climate change,5,Regional integration,47,Aviation,TV
Climate change,5,Regional integration,47,Public administration- Transportation,BV
Climate change,5,Natural disaster management,52,Aviation,TV
Climate change,5,Natural disaster management,52,Public administration- Transportation,BV
Rural policies and institutions,30,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,30,Rural policies and institutions,77,General public administration sector,BZ
Rural policies and institutions,30,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,30,Rural services and infrastructure,78,General public administration sector,BZ
Rural policies and institutions,30,Participation and civic engagement,57,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,30,Participation and civic engagement,57,General public administration sector,BZ
Other social development,4,Other social development,62,Flood protection,WD
Other social development,4,Other social development,62,"General water, sanitation and flood protection sector",WZ
Other social development,4,Other social development,62,"Public administration- Water, sanitation and flood protection",BW
Other social development,4,Other social development,62,Other social services,JB
Other social development,4,Water resource management,85,Flood protection,WD
Other social development,4,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Other social development,4,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Other social development,4,Water resource management,85,Other social services,JB
Education for all,100,Education for all,65,Primary education,EP
Water resource management,30,Water resource management,85,Forestry,AT
Water resource management,30,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Water resource management,30,Water resource management,85,"General agriculture, fishing and forestry sector",AZ
Water resource management,30,Biodiversity,80,Forestry,AT
Water resource management,30,Biodiversity,80,"General water, sanitation and flood protection sector",WZ
Water resource management,30,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Water resource management,30,Environmental policies and institutions,82,Forestry,AT
Water resource management,30,Environmental policies and institutions,82,"General water, sanitation and flood protection sector",WZ
Water resource management,30,Environmental policies and institutions,82,"General agriculture, fishing and forestry sector",AZ
Water resource management,30,Other environment and natural resources management,86,Forestry,AT
Water resource management,30,Other environment and natural resources management,86,"General water, sanitation and flood protection sector",WZ
Water resource management,30,Other environment and natural resources management,86,"General agriculture, fishing and forestry sector",AZ
Land administration and management,5,Land administration and management,83,Housing finance,FC
Land administration and management,5,Land administration and management,83,Housing construction,YC
Land administration and management,5,Land administration and management,83,Capital markets,FK
Land administration and management,5,Land administration and management,83,Vocational training,EV
Land administration and management,5,"Micro, Small and Medium Enterprise support",41,Housing finance,FC
Land administration and management,5,"Micro, Small and Medium Enterprise support",41,Housing construction,YC
Land administration and management,5,"Micro, Small and Medium Enterprise support",41,Capital markets,FK
Land administration and management,5,"Micro, Small and Medium Enterprise support",41,Vocational training,EV
Social safety nets,30,Social safety nets,54,Central government administration,BC
Social safety nets,30,Social safety nets,54,Public administration- Financial Sector,BO
Social safety nets,30,Social safety nets,54,General public administration sector,BZ
Social safety nets,30,Macroeconomic management,23,Central government administration,BC
Social safety nets,30,Macroeconomic management,23,Public administration- Financial Sector,BO
Social safety nets,30,Macroeconomic management,23,General public administration sector,BZ
Social safety nets,30,State-owned enterprise restructuring and privatization,43,Central government administration,BC
Social safety nets,30,State-owned enterprise restructuring and privatization,43,Public administration- Financial Sector,BO
Social safety nets,30,State-owned enterprise restructuring and privatization,43,General public administration sector,BZ
Decentralization,5,Decentralization,26,Vocational training,EV
Decentralization,5,Education for the knowledge economy,66,Vocational training,EV
Decentralization,5,Export development and competitiveness,45,Vocational training,EV
Decentralization,5,Technology diffusion,48,Vocational training,EV
Conflict prevention and post-conflict reconstruction,50,Conflict prevention and post-conflict reconstruction,58,"General agriculture, fishing and forestry sector",AZ
Conflict prevention and post-conflict reconstruction,50,Conflict prevention and post-conflict reconstruction,58,"Agro-industry, marketing, and trade",YA
Conflict prevention and post-conflict reconstruction,50,Conflict prevention and post-conflict reconstruction,58,Rural and Inter-Urban Roads and Highways,TI
Conflict prevention and post-conflict reconstruction,50,Rural services and infrastructure,78,"General agriculture, fishing and forestry sector",AZ
Conflict prevention and post-conflict reconstruction,50,Rural services and infrastructure,78,"Agro-industry, marketing, and trade",YA
Conflict prevention and post-conflict reconstruction,50,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Conflict prevention and post-conflict reconstruction,50,Infrastructure services for private sector development,39,"General agriculture, fishing and forestry sector",AZ
Conflict prevention and post-conflict reconstruction,50,Infrastructure services for private sector development,39,"Agro-industry, marketing, and trade",YA
Conflict prevention and post-conflict reconstruction,50,Infrastructure services for private sector development,39,Rural and Inter-Urban Roads and Highways,TI
Rural services and infrastructure,100,Rural services and infrastructure,78,Thermal Power Generation,LG
Social safety nets,100,Social safety nets,54,Other social services,JB
Social safety nets,100,Social safety nets,54,Public administration- Other social services,BS
Climate change,40,Climate change,81,Agricultural extension and research,AB
Climate change,40,Climate change,81,Crops,AH
Climate change,40,Climate change,81,Irrigation and drainage,AI
Climate change,40,Climate change,81,Animal production,AJ
Climate change,40,Land administration and management,83,Agricultural extension and research,AB
Climate change,40,Land administration and management,83,Crops,AH
Climate change,40,Land administration and management,83,Irrigation and drainage,AI
Climate change,40,Land administration and management,83,Animal production,AJ
Climate change,40,Vulnerability assessment and monitoring,55,Agricultural extension and research,AB
Climate change,40,Vulnerability assessment and monitoring,55,Crops,AH
Climate change,40,Vulnerability assessment and monitoring,55,Irrigation and drainage,AI
Climate change,40,Vulnerability assessment and monitoring,55,Animal production,AJ
Climate change,40,Environmental policies and institutions,82,Agricultural extension and research,AB
Climate change,40,Environmental policies and institutions,82,Crops,AH
Climate change,40,Environmental policies and institutions,82,Irrigation and drainage,AI
Climate change,40,Environmental policies and institutions,82,Animal production,AJ
Climate change,40,Water resource management,85,Agricultural extension and research,AB
Climate change,40,Water resource management,85,Crops,AH
Climate change,40,Water resource management,85,Irrigation and drainage,AI
Climate change,40,Water resource management,85,Animal production,AJ
"Public expenditure, financial management and procurement",100,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",100,"Public expenditure, financial management and procurement",27,Public administration- Energy and mining,BU
Climate change,30,Climate change,81,"General water, sanitation and flood protection sector",WZ
Climate change,30,Climate change,81,"Public administration- Water, sanitation and flood protection",BW
Climate change,30,Climate change,81,Information technology,CA
Climate change,30,Natural disaster management,52,"General water, sanitation and flood protection sector",WZ
Climate change,30,Natural disaster management,52,"Public administration- Water, sanitation and flood protection",BW
Climate change,30,Natural disaster management,52,Information technology,CA
Climate change,30,Environmental policies and institutions,82,"General water, sanitation and flood protection sector",WZ
Climate change,30,Environmental policies and institutions,82,"Public administration- Water, sanitation and flood protection",BW
Climate change,30,Environmental policies and institutions,82,Information technology,CA
Climate change,30,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Climate change,30,Water resource management,85,"Public administration- Water, sanitation and flood protection",BW
Climate change,30,Water resource management,85,Information technology,CA
"Micro, Small and Medium Enterprise support",15,"Micro, Small and Medium Enterprise support",41,Vocational training,EV
"Micro, Small and Medium Enterprise support",15,"Micro, Small and Medium Enterprise support",41,Adult literacy/non-formal education,EL
"Micro, Small and Medium Enterprise support",15,Education for the knowledge economy,66,Vocational training,EV
"Micro, Small and Medium Enterprise support",15,Education for the knowledge economy,66,Adult literacy/non-formal education,EL
"Public expenditure, financial management and procurement",75,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",75,Tax policy and administration,28,Central government administration,BC
Other public sector governance,100,Other public sector governance,30,Oil and gas,LC
Other environment and natural resources management,100,Other environment and natural resources management,86,Other Mining and Extractive Industries,LS
Health system performance,100,Health system performance,67,Health,JA
Administrative and civil service reform,20,Administrative and civil service reform,25,Telecommunications,CT
Administrative and civil service reform,20,Administrative and civil service reform,25,Information technology,CA
Administrative and civil service reform,20,Administrative and civil service reform,25,Public administration- Information and communications,BM
Administrative and civil service reform,20,Rural services and infrastructure,78,Telecommunications,CT
Administrative and civil service reform,20,Rural services and infrastructure,78,Information technology,CA
Administrative and civil service reform,20,Rural services and infrastructure,78,Public administration- Information and communications,BM
Administrative and civil service reform,20,Regulation and competition policy,40,Telecommunications,CT
Administrative and civil service reform,20,Regulation and competition policy,40,Information technology,CA
Administrative and civil service reform,20,Regulation and competition policy,40,Public administration- Information and communications,BM
Administrative and civil service reform,20,Infrastructure services for private sector development,39,Telecommunications,CT
Administrative and civil service reform,20,Infrastructure services for private sector development,39,Information technology,CA
Administrative and civil service reform,20,Infrastructure services for private sector development,39,Public administration- Information and communications,BM
Climate change,100,Climate change,81,Transmission and Distribution of Electricity,LT
State-owned enterprise restructuring and privatization,35,State-owned enterprise restructuring and privatization,43,General energy sector,LZ
State-owned enterprise restructuring and privatization,35,Infrastructure services for private sector development,39,General energy sector,LZ
Gender,20,Gender,59,Central government administration,BC
Gender,20,Gender,59,Public administration- Financial Sector,BO
Gender,20,Gender,59,Sub-national government administration,BH
Gender,20,"Poverty strategy, analysis and monitoring",53,Central government administration,BC
Gender,20,"Poverty strategy, analysis and monitoring",53,Public administration- Financial Sector,BO
Gender,20,"Poverty strategy, analysis and monitoring",53,Sub-national government administration,BH
Gender,20,Tax policy and administration,28,Central government administration,BC
Gender,20,Tax policy and administration,28,Public administration- Financial Sector,BO
Gender,20,Tax policy and administration,28,Sub-national government administration,BH
Climate change,100,Climate change,81,General information and communications sector,CZ
Climate change,100,Climate change,81,"Public administration- Water, sanitation and flood protection",BW
Biodiversity,20,Biodiversity,80,"General water, sanitation and flood protection sector",WZ
Biodiversity,20,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Biodiversity,20,Biodiversity,80,Agricultural extension and research,AB
Biodiversity,20,Biodiversity,80,Irrigation and drainage,AI
Biodiversity,20,Land administration and management,83,"General water, sanitation and flood protection sector",WZ
Biodiversity,20,Land administration and management,83,"General agriculture, fishing and forestry sector",AZ
Biodiversity,20,Land administration and management,83,Agricultural extension and research,AB
Biodiversity,20,Land administration and management,83,Irrigation and drainage,AI
Biodiversity,20,Climate change,81,"General water, sanitation and flood protection sector",WZ
Biodiversity,20,Climate change,81,"General agriculture, fishing and forestry sector",AZ
Biodiversity,20,Climate change,81,Agricultural extension and research,AB
Biodiversity,20,Climate change,81,Irrigation and drainage,AI
Biodiversity,20,Environmental policies and institutions,82,"General water, sanitation and flood protection sector",WZ
Biodiversity,20,Environmental policies and institutions,82,"General agriculture, fishing and forestry sector",AZ
Biodiversity,20,Environmental policies and institutions,82,Agricultural extension and research,AB
Biodiversity,20,Environmental policies and institutions,82,Irrigation and drainage,AI
Biodiversity,20,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Biodiversity,20,Water resource management,85,"General agriculture, fishing and forestry sector",AZ
Biodiversity,20,Water resource management,85,Agricultural extension and research,AB
Biodiversity,20,Water resource management,85,Irrigation and drainage,AI
Climate change,30,Climate change,81,Flood protection,WD
Climate change,30,Other environment and natural resources management,86,Flood protection,WD
Rural policies and institutions,20,Rural policies and institutions,77,Central government administration,BC
Rural policies and institutions,20,Rural policies and institutions,77,Public administration- Industry and trade,BT
Rural policies and institutions,20,Rural policies and institutions,77,Crops,AH
Rural policies and institutions,20,Rural policies and institutions,77,General energy sector,LZ
Rural policies and institutions,20,Rural policies and institutions,77,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,20,Other accountability/anti-corruption,29,Central government administration,BC
Rural policies and institutions,20,Other accountability/anti-corruption,29,Public administration- Industry and trade,BT
Rural policies and institutions,20,Other accountability/anti-corruption,29,Crops,AH
Rural policies and institutions,20,Other accountability/anti-corruption,29,General energy sector,LZ
Rural policies and institutions,20,Other accountability/anti-corruption,29,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,20,Export development and competitiveness,45,Central government administration,BC
Rural policies and institutions,20,Export development and competitiveness,45,Public administration- Industry and trade,BT
Rural policies and institutions,20,Export development and competitiveness,45,Crops,AH
Rural policies and institutions,20,Export development and competitiveness,45,General energy sector,LZ
Rural policies and institutions,20,Export development and competitiveness,45,"General agriculture, fishing and forestry sector",AZ
Rural policies and institutions,20,"Public expenditure, financial management and procurement",27,Central government administration,BC
Rural policies and institutions,20,"Public expenditure, financial management and procurement",27,Public administration- Industry and trade,BT
Rural policies and institutions,20,"Public expenditure, financial management and procurement",27,Crops,AH
Rural policies and institutions,20,"Public expenditure, financial management and procurement",27,General energy sector,LZ
Rural policies and institutions,20,"Public expenditure, financial management and procurement",27,"General agriculture, fishing and forestry sector",AZ
Health system performance,20,Health system performance,67,Health,JA
Health system performance,20,Health system performance,67,Other social services,JB
Health system performance,20,Health system performance,67,Public administration- Health,BQ
Health system performance,20,Child health,63,Health,JA
Health system performance,20,Child health,63,Other social services,JB
Health system performance,20,Child health,63,Public administration- Health,BQ
Health system performance,20,Population and reproductive health,69,Health,JA
Health system performance,20,Population and reproductive health,69,Other social services,JB
Health system performance,20,Population and reproductive health,69,Public administration- Health,BQ
Water resource management,25,Water resource management,85,"General agriculture, fishing and forestry sector",AZ
Water resource management,25,Water resource management,85,"Public administration- Agriculture, fishing and forestry",BL
Water resource management,25,Participation and civic engagement,57,"General agriculture, fishing and forestry sector",AZ
Water resource management,25,Participation and civic engagement,57,"Public administration- Agriculture, fishing and forestry",BL
Water resource management,25,Other environment and natural resources management,86,"General agriculture, fishing and forestry sector",AZ
Water resource management,25,Other environment and natural resources management,86,"Public administration- Agriculture, fishing and forestry",BL
Water resource management,25,Environmental policies and institutions,82,"General agriculture, fishing and forestry sector",AZ
Water resource management,25,Environmental policies and institutions,82,"Public administration- Agriculture, fishing and forestry",BL
Water resource management,25,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Water resource management,25,Biodiversity,80,"Public administration- Agriculture, fishing and forestry",BL
Regulation and competition policy,70,Regulation and competition policy,40,Telecommunications,CT
Regulation and competition policy,70,State-owned enterprise restructuring and privatization,43,Telecommunications,CT
Water resource management,25,Water resource management,85,Irrigation and drainage,AI
Water resource management,25,Water resource management,85,"General water, sanitation and flood protection sector",WZ
Water resource management,25,Water resource management,85,Crops,AH
Water resource management,25,Water resource management,85,Agricultural extension and research,AB
Water resource management,25,Administrative and civil service reform,25,Irrigation and drainage,AI
Water resource management,25,Administrative and civil service reform,25,"General water, sanitation and flood protection sector",WZ
Water resource management,25,Administrative and civil service reform,25,Crops,AH
Water resource management,25,Administrative and civil service reform,25,Agricultural extension and research,AB
Water resource management,25,Other rural development,79,Irrigation and drainage,AI
Water resource management,25,Other rural development,79,"General water, sanitation and flood protection sector",WZ
Water resource management,25,Other rural development,79,Crops,AH
Water resource management,25,Other rural development,79,Agricultural extension and research,AB
Water resource management,25,Rural services and infrastructure,78,Irrigation and drainage,AI
Water resource management,25,Rural services and infrastructure,78,"General water, sanitation and flood protection sector",WZ
Water resource management,25,Rural services and infrastructure,78,Crops,AH
Water resource management,25,Rural services and infrastructure,78,Agricultural extension and research,AB
Biodiversity,50,Biodiversity,80,"General agriculture, fishing and forestry sector",AZ
Biodiversity,50,Biodiversity,80,Forestry,AT
Biodiversity,50,Environmental policies and institutions,82,"General agriculture, fishing and forestry sector",AZ
Biodiversity,50,Environmental policies and institutions,82,Forestry,AT
"Public expenditure, financial management and procurement",90,"Public expenditure, financial management and procurement",27,Central government administration,BC
"Public expenditure, financial management and procurement",90,"Public expenditure, financial management and procurement",27,General industry and trade sector,YZ
"Public expenditure, financial management and procurement",90,Participation and civic engagement,57,Central government administration,BC
"Public expenditure, financial management and procurement",90,Participation and civic engagement,57,General industry and trade sector,YZ
Other public sector governance,100,Other public sector governance,30,Other Mining and Extractive Industries,LS
Other public sector governance,100,Other public sector governance,30,Oil and gas,LC
Export development and competitiveness,25,Export development and competitiveness,45,Rural and Inter-Urban Roads and Highways,TI
Export development and competitiveness,25,Export development and competitiveness,45,Agricultural extension and research,AB
Export development and competitiveness,25,Export development and competitiveness,45,Crops,AH
Export development and competitiveness,25,Export development and competitiveness,45,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,25,Export development and competitiveness,45,"Public administration- Agriculture, fishing and forestry",BL
Export development and competitiveness,25,Other social protection and risk management,56,Rural and Inter-Urban Roads and Highways,TI
Export development and competitiveness,25,Other social protection and risk management,56,Agricultural extension and research,AB
Export development and competitiveness,25,Other social protection and risk management,56,Crops,AH
Export development and competitiveness,25,Other social protection and risk management,56,"Agro-industry, marketing, and trade",YA
Export development and competitiveness,25,Other social protection and risk management,56,"Public administration- Agriculture, fishing and forestry",BL
Export development and competitiveness,25,Rural services and infrastructure,78,Rural and Inter-Urban Roads and Highways,TI
Export development and competitiveness,25,Rural services and infrastructure,78,Agricultural extension and research,AB
Export development and competitiveness,25,Rural services and infrastructure,78,Crops,AH
